173416 124543 0 0
0 0 1226466 162066
563988 747969 0 0
651128 737404 0 0
0 0 162066 62332
刹 42 55 0 5
驷 0 1 3 0
掠 26 9 0 0
捏 0 22 0 0
胎 11 50 12 0
比 2970 1907 476 783
块 0 250 165 16
孟 127 129 1 0
飞 745 411 114 53
葡 270 190 0 2
无 2030 1250 155 292
轧 23 53 1 1
桩 0 32 0 0
山 1308 1371 1019 134
踩 0 29 0 0
女 978 783 1081 11
辨 26 32 3 13
茫 28 3 26 0
梁 95 103 76 4
内 2041 1542 1969 643
缆 0 19 54 0
安 2686 626 1009 280
萌 8 9 1 0
熬 0 15 0 0
辑 7 34 237 47
渐 55 57 169 0
誓 0 38 20 0
洒 0 48 0 0
锯 0 7 0 0
刘 386 804 0 0
鸭 0 98 0 1
四 2041 2836 760 413
碟 0 9 0 0
缄 2 2 0 0
凄 3 15 0 0
映 8 62 849 1
沧 12 12 2 1
伦 173 151 19 105
让 43 1118 134 0
听 607 447 133 0
献 259 105 913 27
媳 35 15 0 0
破 583 202 640 76
莹 0 8 17 0
舸 0 1 1 0
款 118 193 948 2
陀 0 20 0 14
勃 58 40 156 48
蛋 43 80 44 0
压 560 323 221 15
嫣 0 1 0 2
澍 0 0 0 1
捎 0 14 0 0
近 928 1718 1800 27
乐 404 292 639 186
桔 0 21 27 0
哗 0 31 0 0
靖 3 49 5 17
叙 283 152 0 6
绛 0 3 1 7
党 3519 3179 2145 506
川 3 149 265 133
食 556 266 980 71
锐 39 17 100 0
拣 0 30 0 0
敢 82 205 70 0
缛 0 4 0 0
车 637 638 1572 123
餮 0 0 1 0
睦 21 2 23 0
闭 150 56 162 0
烯 0 16 22 0
棺 4 7 0 0
忱 0 4 20 0
珩 0 7 9 0
戒 29 48 0 0
蝶 0 10 6 0
任 2208 557 2106 592
腺 4 14 4 6
朔 1 32 7 0
省 800 1002 2744 13
刃 0 31 0 2
酪 0 2 5 0
算 51 381 800 356
簇 9 12 10 3
嬉 0 23 0 0
莎 35 54 2 0
休 124 91 261 0
源 95 210 1341 52
吗 0 394 0 0
匙 0 3 34 0
渭 3 31 4 5
鲜 241 89 778 208
实 6908 355 2705 439
蜡 2 32 0 0
肤 0 18 37 5
氧 65 74 17 15
侦 77 8 2 0
瘫 34 12 0 0
锭 0 17 13 0
咬 3 36 0 0
玮 0 1 1 0
弱 48 166 281 6
稳 1003 120 36 0
架 52 409 92 0
芸 0 7 14 0
主 6377 381 2178 5845
吞 34 45 10 0
洽 88 10 35 0
设 2366 235 4337 93
睁 0 36 0 0
雀 0 26 10 0
痂 0 2 0 0
充 1107 100 148 0
郄 4 0 0 0
忆 0 24 98 39
等 461 5838 799 331
晋 82 61 27 21
姊 5 1 0 0
凌 98 58 6 0
佑 0 13 0 12
裔 0 18 46 0
勘 103 7 2 0
寞 0 0 17 0
条 2007 1596 125 152
扣 64 146 6 0
既 207 757 0 21
腥 1 7 0 0
癫 3 1 0 0
灯 73 224 110 0
叮 14 16 0 0
影 1344 199 627 24
绰 2 11 0 0
驳 2 54 18 0
已 1752 3715 277 10
饵 10 7 0 0
泼 9 31 82 0
课 351 196 213 1
需 2104 360 237 0
傅 9 81 45 0
帆 0 89 3 1
膏 2 43 0 0
戎 0 10 4 0
云 278 410 261 69
伐 6 84 175 120
态 471 142 735 0
疗 59 40 452 35
通 3373 611 1336 152
袄 0 0 6 0
肥 30 194 380 21
愤 38 32 22 3
涧 0 10 0 0
垫 0 36 0 0
株 5 126 0 0
锬 0 4 0 0
冯 86 145 0 1
刮 8 51 1 0
纱 5 60 1 0
害 36 139 659 30
头 254 1085 1166 51
抹 7 32 0 0
茸 0 7 12 0
沽 0 11 9 0
洼 13 10 4 0
雁 0 110 5 0
着 443 3464 1442 6
兄 115 23 0 0
叠 2 55 0 0
操 131 96 57 20
敌 256 159 38 0
扎 185 251 49 157
滑 129 122 82 5
佐 13 54 0 0
毓 0 29 0 3
忠 129 219 29 6
裕 0 56 141 7
楔 0 5 0 0
做 1406 1507 55 7
鼠 4 56 44 0
租 295 61 73 39
杠 23 11 2 0
揣 3 7 0 0
渺 3 4 0 0
胥 0 6 6 1
书 1352 1016 1243 619
矫 17 15 0 0
哭 2 78 0 0
凯 32 94 1 3
彰 0 14 186 16
奴 24 11 6 0
旷 12 11 0 4
晶 37 103 28 0
苹 51 0 11 0
恺 0 12 5 0
泽 0 161 85 267
阁 0 76 130 1
磁 76 131 15 0
崇 148 58 12 0
庆 189 338 246 57
守 76 171 426 79
朋 373 10 13 77
萍 0 99 28 0
斌 0 100 10 2
意 2829 389 2300 170
丑 58 46 1 0
辐 55 6 0 0
蠕 3 3 0 0
皖 0 25 1 0
则 0 875 2073 25
厘 91 10 0 3
； 0 5216 0 0
尝 54 68 39 3
吼 0 9 0 0
够 5 47 886 0
骞 0 1 2 0
挣 27 47 0 0
急 294 211 276 21
货 718 405 231 189
亦 0 158 0 4
讨 1070 28 207 41
堵 47 41 0 0
速 518 86 743 36
船 237 405 187 35
肺 11 39 0 0
秋 82 207 72 57
椿 1 10 0 0
千 374 385 1351 896
酷 20 23 35 0
嵇 4 0 0 0
细 278 199 167 27
婉 16 14 7 0
磊 0 10 24 14
运 2463 519 437 452
桕 0 0 8 4
镗 0 2 0 0
盖 21 231 122 27
牙 1 98 362 175
变 1356 666 1224 21
僚 0 24 0 70
祟 0 3 3 0
竞 909 30 5 1
蟠 0 3 0 0
荣 370 263 440 81
哺 7 10 0 0
赧 0 0 1 0
滦 1 4 1 0
辄 0 2 4 0
酯 0 4 5 0
狮 55 24 22 2
翰 0 73 0 5
页 0 162 4 0
批 1169 861 416 69
轻 466 235 396 113
胺 0 7 0 0
汽 603 46 21 50
西 2990 802 1491 940
禁 205 101 88 8
砀 2 0 0 0
搂 0 9 0 0
待 162 133 743 399
毗 9 6 0 0
喉 9 17 13 0
合 3575 440 3570 1163
袋 3 61 32 0
亏 186 126 97 0
耐 82 68 4 10
枕 0 12 0 0
昔 37 26 0 0
窗 103 67 81 0
外 4157 1250 2750 419
嶙 4 0 0 0
尘 3 63 10 4
： 0 7529 0 0
欢 931 104 154 63
两 693 6096 83 128
斩 0 18 0 0
萨 97 336 74 175
未 571 604 268 80
箭 0 43 78 0
纯 108 147 83 6
钳 5 7 0 0
阴 87 77 22 12
永 246 303 25 91
伺 9 8 0 0
莽 5 10 9 0
璋 0 11 6 0
放 951 446 2192 538
私 197 180 337 18
础 0 4 1041 58
魂 0 48 58 0
必 2295 126 205 41
鹄 0 0 19 0
勇 208 155 115 16
兆 12 71 4 67
呈 69 64 29 1
棋 187 130 221 22
坊 0 80 33 11
词 21 291 171 2
济 116 100 6715 923
恐 189 36 16 0
蓓 0 24 2 2
荒 157 143 9 0
虔 14 3 0 0
祖 828 205 2 11
以 6440 4638 3699 212
烛 7 14 0 0
罚 2 67 106 6
剜 0 1 0 0
盟 82 111 553 22
泣 0 15 0 0
止 10 124 1113 1
迥 1 9 0 0
早 477 518 102 0
士 210 267 2034 173
马 1348 1177 179 412
黯 4 3 0 0
絮 2 11 0 0
灰 9 74 26 9
韵 14 64 7 0
墁 0 1 0 0
伏 20 68 56 5
淹 13 10 3 0
箕 0 0 0 1
揽 1 38 21 20
扼 6 14 0 0
替 32 92 142 0
蕾 0 9 1 0
噪 0 51 0 1
％ 0 55 2205 0
庄 50 192 167 6
切 460 152 1469 130
针 423 134 847 4
栋 0 79 19 0
踏 77 66 15 43
脑 65 94 546 0
熙 0 81 9 0
排 358 456 806 14
首 1800 768 150 13
粘 13 33 0 0
逛 0 32 0 0
龚 38 36 0 0
队 706 1394 4502 37
谣 0 20 5 0
订 112 179 645 0
交 2412 439 894 611
腰 20 62 1 2
枪 56 194 70 0
鸯 0 1 15 0
鄱 8 0 0 0
草 566 263 229 10
琳 15 22 5 0
玲 6 104 10 15
费 353 578 1358 243
沸 16 15 0 0
总 5621 1035 1 78
挽 54 22 0 0
押 8 58 75 0
祁 4 10 0 0
寂 17 18 15 0
黄 704 728 16 27
片 99 663 1295 2
准 902 116 1137 18
哈 426 343 3 203
乏 0 18 374 0
插 55 95 5 0
穗 0 15 0 0
陟 0 0 2 4
棠 0 38 3 0
询 57 3 256 0
级 32 314 4123 97
执 1169 71 22 36
懦 2 0 2 0
填 55 64 0 0
差 316 371 219 0
共 3376 1130 517 831
味 32 159 222 108
史 253 419 1760 80
围 423 124 708 0
腕 0 6 7 0
俺 5 45 0 0
拼 1 38 0 2
颁 164 17 0 0
弄 65 140 21 0
率 163 425 1004 0
逆 101 63 0 0
钉 0 44 0 0
侏 4 0 0 0
舒 257 86 0 2
蚕 0 32 0 0
仡 12 1 0 0
宗 250 147 21 53
砖 41 77 0 0
岙 0 2 2 0
军 3059 710 3526 244
帚 0 4 0 2
劝 45 78 4 0
猜 10 40 0 0
龄 0 121 212 38
趣 33 47 372 0
溥 0 2 0 1
伤 164 243 357 0
控 727 98 33 0
… 653 2 652 7
第 5405 549 1 1
瓜 18 179 226 0
邱 4 49 0 0
焰 0 33 15 0
殷 35 30 0 0
油 331 480 924 53
贸 1188 76 459 76
膻 1 1 0 0
为 3208 9587 7965 87
抽 287 63 0 0
壁 2 112 70 17
祀 0 1 0 0
嘻 0 8 3 3
哉 0 14 0 0
割 12 27 55 13
歌 396 277 161 8
俏 0 43 5 0
惑 0 20 29 4
腐 108 27 66 2
翘 5 18 0 0
扒 0 16 0 0
式 13 365 2793 51
峙 0 5 41 4
奥 349 307 6 62
卜 9 60 21 24
域 5 22 844 0
瑞 494 168 19 24
楠 0 19 9 0
滥 68 55 78 18
羽 21 110 5 4
绑 0 130 5 0
竭 52 24 5 0
兰 125 379 1123 378
牲 38 6 145 7
靴 0 3 0 0
请 125 653 754 119
桶 0 79 28 0
浸 2 29 15 0
臻 0 5 17 0
溴 0 2 0 0
码 56 37 72 0
禀 0 1 0 0
骂 0 46 5 0
帅 0 32 6 0
径 5 28 374 9
吉 333 252 11 92
漏 0 115 0 0
蔓 37 10 0 0
芒 0 39 9 0
昕 0 2 0 4
颖 0 17 70 70
初 623 430 344 0
真 1201 374 1094 6
璞 0 1 1 0
校 333 299 1434 0
责 1025 103 1030 750
严 2236 202 145 3
悦 6 31 41 7
夫 487 510 932 30
弈 0 2 9 0
扳 9 31 0 0
弯 6 44 6 2
粮 934 282 195 0
冰 311 215 48 82
申 251 69 235 0
劲 62 83 284 56
阵 421 76 176 29
土 768 392 546 54
人 14870 8044 9669 1057
蜿 12 0 0 0
秀 44 154 489 19
髂 0 3 0 0
幅 122 223 69 229
升 282 159 408 37
益 11 156 2444 10
住 481 490 464 11
陌 28 2 0 0
拒 266 56 14 0
晕 9 18 0 0
柔 9 68 20 5
字 75 582 756 28
渥 23 0 0 0
绚 6 24 0 0
坟 0 21 0 0
衡 63 85 361 0
淑 1 71 0 0
赣 7 9 5 0
捧 15 61 6 0
摩 191 138 23 6
旨 72 21 76 0
驭 0 1 14 0
凰 0 1 37 0
陵 6 112 7 1
偿 97 44 178 0
袅 7 2 7 0
汹 12 4 3 3
试 856 167 288 149
腻 0 9 26 0
板 22 233 178 11
宁 142 262 492 136
稀 64 54 35 4
射 85 140 244 13
缀 0 6 13 0
嘈 3 0 0 0
成 6649 1663 4755 319
蚓 0 0 2 0
颗 0 122 4 4
龙 87 430 90 291
帘 4 15 0 0
力 1227 613 6860 322
钟 75 243 244 12
霞 3 28 20 14
计 2313 246 2157 485
谤 0 2 7 0
昨 383 8 0 0
缮 0 2 13 0
到 605 6720 8432 23
疵 0 4 1 0
吴 347 536 2 0
边 688 355 686 7
游 860 174 360 155
贺 63 81 190 12
练 27 153 734 57
逊 9 42 14 4
迂 0 10 0 0
陈 669 753 4 3
行 3112 789 13095 489
低 258 642 423 32
摔 6 28 0 0
策 45 44 2800 20
忙 31 141 99 0
凝 98 49 0 17
停 532 291 36 1
哟 0 8 0 0
非 1361 567 1018 51
诡 1 6 0 0
代 3129 436 2518 1203
躺 0 41 0 0
汤 7 92 1 0
惧 5 29 0 1
晨 0 40 174 2
赦 0 0 13 0
硬 71 192 6 13
糯 0 11 0 0
置 36 84 620 7
叱 3 1 0 0
骆 17 34 0 0
桨 0 13 1 0
迹 48 59 201 0
钾 4 8 0 0
恼 1 13 48 0
松 65 285 336 41
布 378 487 1397 443
如 2405 1300 575 143
历 1956 99 307 3
眉 5 39 10 25
喊 13 66 42 0
植 274 102 320 71
氏 0 97 22 56
澎 11 4 0 0
挑 322 79 0 1
易 48 209 1647 204
嫂 0 14 0 0
９ 800 1371 249 6418
鹅 0 61 0 0
创 2328 258 89 73
炜 0 4 2 0
吟 6 26 1 1
俄 67 45 0 65
次 76 3332 3077 46
渣 0 52 0 0
津 119 115 337 133
性 435 1329 2821 34
暨 0 16 0 0
薪 0 33 0 3
缈 0 1 3 0
甜 41 80 7 4
阳 112 268 1090 185
冲 524 235 59 0
电 3432 3880 1001 412
样 118 126 3391 47
讶 0 1 22 0
悼 33 3 11 29
婴 65 30 6 0
魁 6 45 48 0
囊 6 38 3 0
遇 287 97 168 0
漠 2 51 45 8
盈 100 85 9 54
痊 9 0 0 0
迎 268 80 682 3
拐 10 17 0 4
晓 21 199 69 37
氢 2 24 0 0
绘 94 38 92 0
牛 57 170 51 11
酝 46 0 0 0
峻 0 17 76 0
酚 0 2 0 0
饭 239 218 198 0
屯 1 50 2 1
幼 150 82 47 15
危 627 60 19 4
媒 22 7 0 0
狒 0 2 0 0
衷 42 10 86 0
挨 4 50 0 1
突 1002 82 350 0
唁 3 1 0 0
堂 4 289 439 4
醇 0 17 0 0
分 3638 1311 3555 942
圈 38 103 82 22
残 253 160 33 5
吊 7 64 0 1
袍 0 7 0 0
与 377 5361 172 4
抑 63 20 18 0
怒 4 51 20 0
撕 4 17 0 0
陇 12 23 0 5
缘 17 64 44 1
玛 2 117 6 5
尚 153 266 105 57
疟 6 0 0 0
欠 6 104 19 0
辣 18 22 9 0
蠢 9 4 0 0
沥 0 7 0 8
贤 7 114 11 0
木 250 393 263 61
宫 90 176 270 5
帮 985 130 73 2
励 0 50 729 2
麓 0 13 6 0
颈 0 29 0 2
伸 63 41 31 0
肽 0 2 2 0
显 906 123 525 19
嫁 7 66 4 0
心 1114 830 3270 234
汪 89 80 4 0
采 2262 224 131 3
毋 3 18 0 0
告 563 122 1382 119
棍 9 22 0 0
浣 0 4 0 1
乎 0 118 510 18
苑 0 31 5 9
荐 0 17 81 1
染 15 106 281 20
恒 0 62 42 4
给 379 2397 431 20
叛 12 30 0 0
憎 3 2 0 3
郝 36 29 0 0
兜 7 25 0 0
癞 0 1 0 0
桢 0 13 6 0
泥 34 116 104 82
赤 181 33 0 0
杨 434 552 21 0
蔻 0 18 0 0
狱 0 33 26 0
印 728 323 65 5
音 447 333 195 92
畴 0 0 39 0
能 2006 2578 4651 332
腼 3 0 0 0
虾 0 34 17 0
威 306 172 260 226
简 945 120 104 1
弃 14 62 205 10
颂 15 34 35 0
癌 79 61 45 0
逍 2 1 0 0
钊 0 24 2 0
诃 0 13 0 0
于 285 3127 7556 108
我 9882 6099 316 55
蜓 0 0 8 0
猛 98 74 31 5
逝 136 32 18 0
农 6408 382 169 169
生 8651 954 6675 787
模 472 92 528 60
梢 0 12 4 0
涤 16 40 3 1
愧 0 8 57 8
芦 8 25 13 0
砭 0 1 6 0
累 71 88 209 2
爱 642 498 413 67
现 4959 316 4434 14
圳 0 0 180 0
傲 2 13 38 2
吵 6 20 17 0
丹 90 181 169 5
耽 15 8 0 0
政 10040 245 1875 1512
葆 0 8 21 8
居 650 297 194 17
衍 0 24 23 2
檑 0 1 0 0
赏 7 43 302 6
从 1338 5290 201 10
扑 20 66 7 1
提 6748 395 210 53
垢 0 4 6 0
套 4 479 322 6
竖 9 29 0 0
忘 139 110 79 66
回 1530 751 407 31
橡 70 12 0 0
佣 0 2 6 3
澈 0 3 10 0
淤 5 17 0 0
慧 3 55 60 0
苦 121 262 419 354
〔 0 17 0 0
姬 10 57 14 0
绮 5 7 1 0
台 888 872 905 94
靳 1 6 0 0
呵 0 77 0 0
间 137 614 4189 66
楷 5 6 0 1
俸 0 3 0 0
荻 0 14 11 2
链 0 20 14 0
曾 213 1296 34 98
境 209 218 1093 21
异 129 155 127 0
宅 17 14 166 20
娄 3 5 0 0
皇 86 57 20 19
唆 4 4 0 0
醉 0 35 53 5
〈 0 19 1 0
侍 0 22 0 0
椎 0 8 4 0
斑 5 26 7 0
蜒 0 5 12 0
店 8 314 685 3
崖 2 20 5 0
妙 0 97 67 4
涅 5 14 0 4
咛 0 0 6 0
阜 30 29 0 0
功 345 213 824 114
涡 0 19 19 0
讥 0 9 3 0
怨 18 30 55 0
鲫 0 6 1 0
挪 134 18 2 0
央 0 9 2073 118
炳 0 98 0 11
露 104 93 380 7
核 831 433 311 58
欺 47 33 0 0
昼 44 3 3 0
抿 0 2 0 0
脾 10 10 2 0
局 1232 943 1813 20
雇 26 31 9 0
商 2591 272 989 128
凉 7 67 12 0
半 308 694 298 187
乌 237 173 0 13
靛 0 4 0 0
扔 13 29 0 0
塘 9 70 34 1
垠 0 2 5 0
孚 0 21 0 4
缠 9 18 14 1
募 7 23 0 0
簿 0 15 8 0
淡 48 144 28 5
池 16 102 63 0
棣 0 7 1 4
潢 0 3 6 0
该 500 829 826 0
褒 3 8 0 0
敦 55 30 159 11
恨 0 36 20 0
荪 0 7 6 0
淳 8 7 0 2
端 124 118 291 4
饮 166 80 0 0
瑰 14 11 19 2
鉴 313 66 119 0
价 1227 426 1203 24
赶 263 118 17 4
茎 0 4 0 0
拿 237 414 11 310
腾 61 68 41 9
聪 19 44 1 1
骄 39 10 0 0
疆 0 29 302 0
焉 0 8 0 0
谋 71 132 80 157
伍 6 41 430 43
二 2697 1561 1682 688
蔑 0 25 27 0
夙 9 0 0 0
题 259 169 7015 0
君 28 120 23 0
定 533 492 8039 823
障 127 6 270 0
贡 736 39 0 0
昧 0 6 17 2
您 0 229 0 0
措 1193 20 10 0
缭 5 9 0 0
纬 0 16 8 0
妮 0 19 7 1
由 1666 2904 881 1063
论 484 319 2939 485
朽 0 8 64 0
房 274 387 659 4
憾 0 11 81 0
审 968 118 36 0
诊 86 53 32 19
魅 77 3 0 0
乘 193 209 26 0
光 474 758 553 132
烈 140 93 915 27
及 749 1165 2095 91
位 278 2213 3124 9
救 117 300 254 3
捕 95 97 138 0
拔 13 48 149 0
飘 17 82 0 0
瑛 0 32 2 0
燎 0 8 0 0
坝 0 58 41 0
牟 4 47 0 2
衣 70 216 39 104
顺 380 279 60 4
步 373 472 2834 51
旦 0 19 361 19
惨 15 40 13 0
揪 0 6 0 0
彭 164 105 0 0
驯 11 11 0 0
垩 0 0 0 4
卵 0 22 6 0
裸 0 12 10 7
戍 10 4 0 15
诺 82 296 128 62
曼 100 267 85 11
承 1493 180 209 10
岁 68 981 48 2
市 3114 1782 3719 96
骅 0 50 0 2
理 2249 279 7129 730
炉 1 132 71 2
趋 328 47 47 0
刊 231 67 433 4
撑 0 46 0 0
槐 0 28 0 0
貂 2 5 0 0
投 2617 188 2 0
得 1849 2299 4626 417
尖 87 55 2 3
墙 59 83 22 0
稚 5 11 17 0
霜 0 30 4 4
原 3858 762 377 26
馄 0 1 0 0
没 2968 611 34 54
瞠 6 0 0 0
丢 31 112 0 0
欤 0 2 0 0
肩 61 42 12 0
航 538 196 153 34
庭 33 103 661 21
鼬 0 1 0 0
鼐 0 1 1 0
钱 89 955 319 23
田 287 505 434 7
决 3219 142 3096 123
防 772 337 622 172
猴 8 36 0 0
谶 1 0 0 0
琴 5 139 93 7
秃 0 16 1 6
魄 9 14 13 0
呆 3 55 0 0
先 2283 522 1039 212
淋 15 26 0 0
削 233 41 51 0
仍 426 736 7 0
每 2010 759 11 0
荔 8 3 0 3
志 49 539 3271 202
痛 139 95 101 5
婚 225 69 245 27
叟 0 7 0 0
泡 10 50 0 0
赠 105 47 32 1
解 3863 150 1922 138
此 890 926 2166 171
掉 0 302 64 0
惩 42 3 57 0
慨 3 36 74 2
巫 14 14 0 0
续 6 73 2296 30
彬 0 85 1 0
逼 9 78 3 0
凳 4 33 0 0
陲 0 4 17 0
却 24 1393 19 0
迷 72 98 39 20
汶 0 10 1 0
裹 0 17 26 0
怕 0 200 241 0
封 371 318 20 34
证 687 319 1203 31
纂 0 6 33 0
娅 0 31 1 0
震 93 106 202 17
咆 5 0 0 0
选 1775 420 555 123
冈 10 62 12 30
洋 57 163 512 33
不 14170 10801 923 1359
斐 33 4 0 0
奂 0 0 1 0
扯 37 26 5 0
７ 734 1899 95 1780
岖 0 0 8 0
骚 3 12 17 0
溢 2 38 36 0
认 4012 72 592 0
膨 66 6 0 102
紫 33 61 11 441
荆 13 36 0 0
席 71 190 1821 146
爵 5 8 16 0
根 1897 395 579 196
攻 396 90 268 2
溺 3 2 7 0
肾 0 28 0 0
籁 0 2 1 0
悖 1 15 0 0
寄 61 168 24 0
均 53 367 677 103
测 225 67 322 37
乍 566 36 0 5
桌 71 69 52 0
鹿 13 71 0 0
粢 0 2 0 0
罗 283 636 112 85
糖 35 113 21 0
秘 549 26 76 3
镛 0 5 4 0
矜 1 0 0 0
污 215 46 39 2
珑 0 7 6 6
兽 31 41 2 0
擦 3 37 44 0
恩 95 194 152 112
鹭 1 2 0 0
壮 140 153 53 4
呱 1 2 0 1
痰 0 10 0 0
关 5428 355 4046 199
盲 192 25 40 0
牵 54 88 0 0
驿 0 15 0 0
虽 604 280 0 0
漫 76 73 29 12
征 219 224 270 10
窃 4 15 49 11
崂 18 0 0 0
禅 0 26 4 27
圆 135 117 39 0
玉 129 399 23 56
刈 0 2 0 0
事 3327 1183 3131 723
焊 10 21 0 0
荧 0 33 3 0
抓 578 611 61 0
— 1413 390 1413 0
岗 257 65 29 1
编 652 281 171 37
宙 0 1 76 0
娘 0 71 209 0
多 3110 8298 2718 567
喝 19 134 26 5
澡 0 24 0 0
渠 185 72 7 66
财 1373 228 43 0
朦 3 0 3 0
掩 78 32 0 0
纫 0 0 16 20
尬 0 0 3 0
蜚 10 3 0 0
劳 1442 181 113 93
甲 28 144 21 21
况 19 64 2671 5
坞 0 6 2 0
施 501 112 1927 3
肿 48 26 11 6
哀 25 21 4 0
翁 2 23 91 17
叉 0 19 35 1
版 71 307 676 376
介 848 43 63 22
庶 0 4 1 0
柑 25 2 0 0
虐 9 8 9 0
拓 7 55 179 34
联 4195 415 1999 88
盛 138 164 88 275
奚 2 7 0 0
瑜 0 40 15 0
绊 0 13 0 0
卞 2 6 0 0
信 1598 715 1088 84
习 322 106 1664 46
赢 152 61 0 0
僧 2 21 5 0
揩 0 7 0 0
矩 0 6 18 0
陨 21 4 0 0
！ 0 1757 0 0
娃 33 47 40 0
预 1041 123 113 0
弗 14 106 8 44
下 3039 3064 1756 136
熊 31 119 0 24
貌 7 36 291 0
栏 8 67 59 3
犬 0 9 1 0
愕 3 0 4 0
悔 8 10 10 0
嘛 0 52 18 0
轮 118 406 74 68
锝 0 0 1 0
借 290 233 50 0
褥 0 14 0 0
袤 0 0 6 0
萧 36 68 0 0
扰 20 23 121 0
抨 10 0 0 0
盆 48 65 4 0
崭 47 14 0 0
疲 41 21 0 5
谷 115 129 139 43
锰 0 5 0 0
蔽 0 36 0 0
撼 0 4 15 5
耿 48 31 0 0
轩 4 17 0 0
卉 0 5 62 0
狈 0 0 3 0
之 3161 3028 216 939
释 132 53 278 0
泌 0 4 12 0
淌 0 9 12 0
村 929 878 2045 12
打 1267 1129 246 5
慕 11 35 22 51
饥 37 23 8 1
孙 157 312 57 0
高 2989 2225 2999 62
姚 30 77 0 0
铜 35 193 0 8
裤 3 51 2 0
摧 66 6 0 0
拨 133 182 51 3
自 8876 1102 1086 177
篮 48 44 34 0
困 888 47 487 107
闲 57 90 6 0
兵 146 276 659 26
郴 1 13 0 0
歹 0 10 0 0
开 7355 1157 2161 402
它 485 2452 363 0
墅 0 0 8 1
处 1390 800 1008 40
喇 21 18 0 2
匈 172 24 0 0
例 232 264 593 0
《 0 4636 0 0
暑 3 57 0 13
莓 0 1 2 0
骗 22 68 47 0
钝 0 0 4 0
坛 0 121 103 0
熟 194 79 138 19
亡 5 75 251 20
传 1634 397 701 120
讣 0 4 0 0
谢 136 243 202 13
斧 0 18 14 0
茨 1 89 187 46
怪 7 106 91 9
岭 8 88 41 1
皱 0 16 0 0
地 6458 6849 4828 314
渲 0 15 0 0
邵 20 36 0 0
蔼 0 2 4 0
层 372 374 843 30
磅 5 33 2 7
症 11 82 74 0
陆 227 156 278 3
勉 25 44 2 0
午 20 52 1196 13
赌 30 14 2 0
材 545 121 786 229
摒 29 1 0 0
惕 0 10 46 0
腔 0 52 16 23
站 41 687 564 2
存 1022 244 368 30
矛 395 9 0 21
铝 36 61 3 0
镜 70 76 13 0
满 597 434 511 56
你 473 1176 0 0
诣 0 1 16 0
旧 93 584 127 14
晦 0 4 2 0
择 48 18 346 7
快 143 674 1049 0
恪 14 0 0 0
峭 5 5 0 0
积 2015 146 590 50
驮 0 10 0 0
囱 0 0 4 0
剩 121 52 5 3
右 57 149 411 8
醒 16 75 148 4
僵 49 32 0 0
兴 756 422 567 100
混 222 82 0 0
蹶 0 3 0 3
找 291 461 179 1
币 0 68 392 0
品 491 319 5608 752
笃 0 4 0 4
岂 6 45 0 0
妄 23 25 12 0
唇 0 13 14 3
皆 0 91 0 8
炊 22 23 0 0
涌 106 61 20 0
咱 31 41 0 0
蘑 44 7 0 0
析 0 14 545 24
撒 98 99 0 19
耕 238 89 69 0
官 623 263 150 12
喜 369 239 175 12
办 2195 1090 1512 14
渡 32 62 116 1
侠 0 12 0 2
欣 226 57 20 20
令 394 193 304 159
推 1740 164 0 3
缫 2 1 0 0
肪 0 1 10 0
夯 0 6 0 0
嘱 12 26 0 0
贷 381 77 165 6
溶 19 38 0 1
许 1825 227 551 26
蜻 8 5 0 0
落 956 371 247 11
愿 470 328 326 17
繁 528 52 87 24
硅 6 21 0 0
起 1860 1996 2310 33
镇 85 435 667 427
集 2093 381 548 89
又 0 3685 1 0
郊 114 49 102 4
跌 9 69 149 3
虑 0 18 546 0
某 695 294 0 0
擒 0 13 1 0
廖 24 49 0 0
败 50 147 233 0
睛 0 5 145 0
飚 0 1 21 0
嗜 0 6 0 0
秆 0 8 24 0
鲤 3 2 0 0
乡 1139 976 788 6
郜 1 8 0 0
正 3559 1060 1094 241
波 538 412 184 39
桥 62 164 113 5
扩 1075 43 0 0
即 528 682 467 0
哲 257 61 8 1
遵 335 21 0 0
酿 54 10 46 0
海 1911 796 1663 339
件 0 1123 2838 8
詹 1 21 0 0
诸 110 131 0 4
拾 11 35 21 1
腿 4 126 20 0
魔 0 52 0 1
